ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D350A,LEAD,0.27564,0.26673,0.27111,4
ROUGE-1,D0644H,LEAD,0.34550,0.35282,0.34912,4
ROUGE-1,D0647B,LEAD,0.39464,0.38803,0.39131,4
ROUGE-1,D632I,LEAD,0.37932,0.38257,0.38094,9
ROUGE-1,D0602B,LEAD,0.31293,0.31031,0.31161,4
ROUGE-1,D400B,LEAD,0.27657,0.27490,0.27573,9
ROUGE-1,D0601A,LEAD,0.22284,0.21680,0.21978,4
ROUGE-1,D0630C,LEAD,0.31794,0.31346,0.31569,4
ROUGE-1,D346H,LEAD,0.28438,0.28386,0.28412,4
ROUGE-1,D0637A,LEAD,0.34777,0.34144,0.34457,4
ROUGE-1,D332H,LEAD,0.21972,0.21078,0.21516,4
ROUGE-1,D0628A,LEAD,0.33691,0.32715,0.33196,4
ROUGE-1,D426A,LEAD,0.22476,0.21741,0.22102,9
ROUGE-1,D0607G,LEAD,0.31357,0.31375,0.31366,4
ROUGE-1,D407B,LEAD,0.25725,0.24763,0.25235,9
ROUGE-1,D393F,LEAD,0.30558,0.29057,0.29789,9
ROUGE-1,D324E,LEAD,0.39958,0.38608,0.39271,9
ROUGE-1,D0606F,LEAD,0.30085,0.29861,0.29973,4
ROUGE-1,D0623E,LEAD,0.33203,0.31693,0.32430,4
