ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D632I,LINEAR-R-MMR-SIMPLERED,0.39063,0.38632,0.38847,9
ROUGE-1,D632I,RF-R-REL,0.43240,0.43446,0.43343,9
ROUGE-1,D632I,RF-R-MMR-SIMPLERED,0.43738,0.43248,0.43492,9
ROUGE-1,D632I,RF-R-MMR-UNICOSRED,0.38472,0.39087,0.38777,9
ROUGE-1,D632I,LINEAR-R-MMR-UNICOSRED,0.37548,0.38934,0.38228,9
ROUGE-1,D632I,DECISIONT-MMR-UNICOSRED,0.36552,0.37450,0.36996,9
ROUGE-1,D632I,LINEAR-R-REL,0.45446,0.45306,0.45376,9
ROUGE-1,D632I,DECISIONT-MMR-SIMPLERED,0.40737,0.40455,0.40595,9
ROUGE-1,D632I,DECISIONT-REL,0.40234,0.39483,0.39855,9
ROUGE-1,D0644H,RF-R-REL,0.37267,0.35620,0.36425,4
ROUGE-1,D0644H,DECISIONT-REL,0.31007,0.30664,0.30834,4
ROUGE-1,D0644H,DECISIONT-MMR-SIMPLERED,0.37794,0.35595,0.36661,4
ROUGE-1,D0644H,LINEAR-R-REL,0.38652,0.37357,0.37994,4
ROUGE-1,D0644H,RF-R-MMR-SIMPLERED,0.38437,0.37500,0.37963,4
ROUGE-1,D0644H,LINEAR-R-MMR-UNICOSRED,0.36388,0.36900,0.36642,4
ROUGE-1,D0644H,LINEAR-R-MMR-SIMPLERED,0.37041,0.36863,0.36952,4
ROUGE-1,D0644H,DECISIONT-MMR-UNICOSRED,0.38660,0.38281,0.38470,4
ROUGE-1,D0644H,RF-R-MMR-UNICOSRED,0.37004,0.37055,0.37030,4
ROUGE-1,D0647B,RF-R-MMR-UNICOSRED,0.42427,0.42023,0.42224,4
ROUGE-1,D0647B,LINEAR-R-MMR-SIMPLERED,0.46559,0.46654,0.46606,4
ROUGE-1,D0647B,RF-R-REL,0.48320,0.47674,0.47995,4
ROUGE-1,D0647B,DECISIONT-MMR-UNICOSRED,0.39091,0.38123,0.38601,4
ROUGE-1,D0647B,LINEAR-R-REL,0.47046,0.47709,0.47375,4
ROUGE-1,D0647B,RF-R-MMR-SIMPLERED,0.47826,0.47559,0.47692,4
ROUGE-1,D0647B,DECISIONT-MMR-SIMPLERED,0.40964,0.40407,0.40683,4
ROUGE-1,D0647B,DECISIONT-REL,0.44693,0.44261,0.44476,4
ROUGE-1,D0647B,LINEAR-R-MMR-UNICOSRED,0.44200,0.44466,0.44333,4
ROUGE-1,D350A,RF-R-MMR-UNICOSRED,0.34965,0.33496,0.34215,4
ROUGE-1,D350A,RF-R-REL,0.33994,0.31897,0.32912,4
ROUGE-1,D350A,RF-R-MMR-SIMPLERED,0.34375,0.32655,0.33493,4
ROUGE-1,D350A,LINEAR-R-MMR-SIMPLERED,0.32688,0.30534,0.31574,4
ROUGE-1,D350A,DECISIONT-MMR-UNICOSRED,0.35302,0.34600,0.34947,4
ROUGE-1,D350A,LINEAR-R-MMR-UNICOSRED,0.32770,0.31845,0.32301,4
ROUGE-1,D350A,DECISIONT-MMR-SIMPLERED,0.32335,0.30717,0.31505,4
ROUGE-1,D350A,LINEAR-R-REL,0.31663,0.29135,0.30347,4
ROUGE-1,D350A,DECISIONT-REL,0.31564,0.29712,0.30610,4
ROUGE-1,D0602B,DECISIONT-MMR-SIMPLERED,0.32462,0.32198,0.32330,4
ROUGE-1,D0602B,LINEAR-R-MMR-SIMPLERED,0.36976,0.37700,0.37335,4
ROUGE-1,D0602B,RF-R-MMR-UNICOSRED,0.32472,0.33367,0.32914,4
ROUGE-1,D0602B,LINEAR-R-REL,0.38150,0.38591,0.38369,4
ROUGE-1,D0602B,RF-R-REL,0.34926,0.34766,0.34845,4
