ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D0644H,1,0.30539,0.46131,0.36750,4
ROUGE-1,D0644H,2,0.39109,0.37882,0.38485,4
ROUGE-1,D0644H,19,0.38306,0.38492,0.38399,4
ROUGE-1,D0644H,18,0.33615,0.33563,0.33589,4
ROUGE-1,D0644H,17,0.35980,0.38830,0.37351,4
ROUGE-1,D0644H,16,0.35383,0.34653,0.35014,4
ROUGE-1,D0644H,6,0.37724,0.37257,0.37489,4
ROUGE-1,D0644H,11,0.25656,0.34524,0.29437,4
ROUGE-1,D0644H,10,0.35361,0.33774,0.34549,4
ROUGE-1,D0644H,5,0.44282,0.42453,0.43348,4
ROUGE-1,D0644H,4,0.39489,0.39625,0.39557,4
ROUGE-1,D0644H,35,0.36711,0.37200,0.36954,4
ROUGE-1,D0644H,3,0.35036,0.35643,0.35337,4
ROUGE-1,D0644H,34,0.32386,0.32059,0.32222,4
ROUGE-1,D0644H,33,0.40046,0.39648,0.39846,4
ROUGE-1,D0644H,15,0.41340,0.40288,0.40807,4
ROUGE-1,D0644H,32,0.36059,0.34623,0.35326,4
ROUGE-1,D0644H,14,0.39305,0.39062,0.39183,4
ROUGE-1,D0644H,9,0.35591,0.37604,0.36570,4
ROUGE-1,D0644H,8,0.40873,0.39449,0.40148,4
ROUGE-1,D0644H,13,0.39265,0.39484,0.39374,4
ROUGE-1,D0644H,31,0.36986,0.36197,0.36587,4
ROUGE-1,D0644H,30,0.32379,0.35193,0.33728,4
ROUGE-1,D0644H,12,0.36740,0.37004,0.36871,4
ROUGE-1,D0644H,7,0.35290,0.34961,0.35124,4
ROUGE-1,D0644H,D,0.56569,0.57661,0.57110,4
ROUGE-1,D0644H,C,0.53736,0.55579,0.54642,4
ROUGE-1,D0644H,F,0.57433,0.54504,0.55930,4
ROUGE-1,D0644H,28,0.38713,0.37311,0.37999,4
ROUGE-1,D0644H,H,0.55633,0.56552,0.56089,4
ROUGE-1,D0644H,27,0.41716,0.40769,0.41237,4
ROUGE-1,D0644H,29,0.35470,0.35615,0.35543,4
ROUGE-1,D0644H,24,0.39856,0.39648,0.39752,4
ROUGE-1,D0644H,23,0.36783,0.35865,0.36319,4
ROUGE-1,D0644H,26,0.30871,0.34061,0.32388,4
ROUGE-1,D0644H,25,0.31841,0.32591,0.32212,4
ROUGE-1,D0644H,20,0.34342,0.33984,0.34162,4
ROUGE-1,D0644H,22,0.29519,0.30386,0.29946,4
ROUGE-1,D0644H,21,0.35892,0.36992,0.36434,4
ROUGE-1,D632I,31,0.21511,0.22585,0.22035,9
ROUGE-1,D632I,30,0.35092,0.34970,0.35031,9
ROUGE-1,D632I,J,0.51561,0.51780,0.51670,9
ROUGE-1,D632I,H,0.45651,0.45040,0.45344,9
ROUGE-1,D632I,G,0.54562,0.53283,0.53915,9
ROUGE-1,D632I,F,0.53906,0.53214,0.53558,9
ROUGE-1,D632I,32,0.36149,0.38430,0.37254,9
ROUGE-1,D632I,E,0.53789,0.56007,0.54876,9
ROUGE-1,D632I,6,0.40707,0.39096,0.39885,9
ROUGE-1,D632I,5,0.45307,0.45177,0.45242,9
ROUGE-1,D632I,8,0.39406,0.39583,0.39495,9
ROUGE-1,D632I,7,0.29088,0.29674,0.29378,9
ROUGE-1,D632I,9,0.43188,0.42571,0.42877,9
ROUGE-1,D632I,18,0.33026,0.34934,0.33953,9
ROUGE-1,D632I,19,0.43055,0.42607,0.42830,9
ROUGE-1,D632I,14,0.37716,0.40083,0.38863,9
ROUGE-1,D632I,1,0.29781,0.29558,0.29669,9
ROUGE-1,D632I,2,0.30396,0.36724,0.33262,9
ROUGE-1,D632I,15,0.38446,0.39556,0.38993,9
ROUGE-1,D632I,3,0.42943,0.44002,0.43466,9
ROUGE-1,D632I,16,0.41153,0.41853,0.41500,9
ROUGE-1,D632I,4,0.40709,0.40885,0.40797,9
ROUGE-1,D632I,17,0.44734,0.43396,0.44055,9
ROUGE-1,D632I,10,0.39468,0.39782,0.39625,9
ROUGE-1,D632I,11,0.42358,0.40180,0.41240,9
ROUGE-1,D632I,12,0.40985,0.40246,0.40612,9
ROUGE-1,D632I,13,0.30155,0.35740,0.32711,9
ROUGE-1,D632I,29,0.30247,0.32543,0.31353,9
ROUGE-1,D632I,27,0.39317,0.38740,0.39026,9
ROUGE-1,D632I,28,0.44192,0.44401,0.44296,9
ROUGE-1,D632I,25,0.36170,0.36187,0.36179,9
ROUGE-1,D632I,26,0.35485,0.40010,0.37612,9
ROUGE-1,D632I,23,0.33045,0.44503,0.37928,9
ROUGE-1,D632I,A,0.53835,0.53661,0.53748,9
ROUGE-1,D632I,24,0.37578,0.38622,0.38093,9
ROUGE-1,D632I,B,0.55725,0.56387,0.56054,9
ROUGE-1,D632I,21,0.37992,0.38301,0.38146,9
ROUGE-1,D632I,C,0.51152,0.51910,0.51528,9
ROUGE-1,D632I,22,0.36821,0.36835,0.36828,9
ROUGE-1,D632I,D,0.52342,0.52356,0.52349,9
ROUGE-1,D632I,20,0.33231,0.48825,0.39546,9
ROUGE-1,D350A,30,0.29447,0.29133,0.29289,4
ROUGE-1,D350A,19,0.34874,0.33794,0.34326,4
ROUGE-1,D350A,17,0.33622,0.32738,0.33174,4
ROUGE-1,D350A,18,0.34942,0.34577,0.34758,4
ROUGE-1,D350A,15,0.32892,0.32300,0.32593,4
ROUGE-1,D350A,16,0.28043,0.27500,0.27769,4
ROUGE-1,D350A,32,0.24572,0.24693,0.24632,4
ROUGE-1,D350A,13,0.35338,0.34980,0.35158,4
ROUGE-1,D350A,31,0.29861,0.29300,0.29578,4
ROUGE-1,D350A,14,0.29230,0.30927,0.30054,4
ROUGE-1,D350A,11,0.36616,0.34351,0.35448,4
ROUGE-1,D350A,2,0.30621,0.29980,0.30297,4
ROUGE-1,D350A,3,0.33544,0.33435,0.33489,4
ROUGE-1,D350A,12,0.33479,0.32382,0.32921,4
ROUGE-1,D350A,4,0.32097,0.31004,0.31541,4
ROUGE-1,D350A,10,0.30908,0.29941,0.30417,4
ROUGE-1,D350A,5,0.32522,0.33650,0.33076,4
ROUGE-1,D350A,1,0.32757,0.32072,0.32411,4
ROUGE-1,D350A,7,0.32801,0.32200,0.32498,4
ROUGE-1,D350A,6,0.32766,0.31348,0.32041,4
ROUGE-1,D350A,9,0.33487,0.31907,0.32678,4
ROUGE-1,D350A,8,0.31486,0.31557,0.31522,4
ROUGE-1,D350A,28,0.29892,0.29536,0.29713,4
ROUGE-1,D350A,29,0.28790,0.28893,0.28841,4
ROUGE-1,D350A,24,0.34068,0.33770,0.33919,4
ROUGE-1,D350A,25,0.32831,0.31693,0.32252,4
ROUGE-1,D350A,26,0.28600,0.30677,0.29602,4
ROUGE-1,D350A,27,0.26521,0.25490,0.25995,4
ROUGE-1,D350A,20,0.23846,0.37500,0.29154,4
ROUGE-1,D350A,21,0.29839,0.29536,0.29687,4
ROUGE-1,D350A,22,0.29567,0.28770,0.29163,4
ROUGE-1,D350A,23,0.21067,0.38910,0.27334,4
ROUGE-1,D350A,D,0.55547,0.55141,0.55343,4
ROUGE-1,D350A,C,0.50856,0.50199,0.50525,4
ROUGE-1,D350A,B,0.53455,0.55472,0.54445,4
ROUGE-1,D350A,A,0.55889,0.55321,0.55603,4
ROUGE-1,D0647B,25,0.42609,0.43574,0.43086,4
ROUGE-1,D0647B,24,0.46734,0.45769,0.46247,4
ROUGE-1,D0647B,23,0.44603,0.43822,0.44209,4
ROUGE-1,D0647B,22,0.37416,0.38720,0.38057,4
ROUGE-1,D0647B,21,0.41351,0.43672,0.42480,4
ROUGE-1,D0647B,20,0.35959,0.36166,0.36062,4
ROUGE-1,D0647B,3,0.43504,0.45389,0.44427,4
ROUGE-1,D0647B,2,0.41346,0.41113,0.41229,4
ROUGE-1,D0647B,1,0.34197,0.32955,0.33564,4
ROUGE-1,D0647B,28,0.41223,0.41339,0.41281,4
ROUGE-1,D0647B,29,0.41344,0.45761,0.43440,4
ROUGE-1,D0647B,26,0.28100,0.32063,0.29951,4
ROUGE-1,D0647B,27,0.40454,0.41700,0.41068,4
ROUGE-1,D0647B,9,0.40367,0.42111,0.41221,4
ROUGE-1,D0647B,8,0.44667,0.43919,0.44290,4
ROUGE-1,D0647B,7,0.42737,0.42315,0.42525,4
ROUGE-1,D0647B,6,0.45301,0.44844,0.45071,4
ROUGE-1,D0647B,5,0.37038,0.36673,0.36855,4
ROUGE-1,D0647B,4,0.41055,0.41468,0.41261,4
ROUGE-1,D0647B,D,0.63313,0.64980,0.64136,4
ROUGE-1,D0647B,F,0.62834,0.61164,0.61988,4
ROUGE-1,D0647B,10,0.41849,0.40494,0.41160,4
ROUGE-1,D0647B,11,0.27611,0.32523,0.29867,4
ROUGE-1,D0647B,12,0.44100,0.44544,0.44321,4
ROUGE-1,D0647B,13,0.40747,0.43050,0.41867,4
ROUGE-1,D0647B,14,0.42046,0.41634,0.41839,4
ROUGE-1,D0647B,34,0.38794,0.38424,0.38608,4
ROUGE-1,D0647B,33,0.43825,0.44071,0.43948,4
ROUGE-1,D0647B,35,0.32222,0.40394,0.35848,4
ROUGE-1,D0647B,30,0.42733,0.45124,0.43896,4
ROUGE-1,D0647B,32,0.41828,0.41279,0.41552,4
ROUGE-1,D0647B,C,0.67831,0.67315,0.67572,4
ROUGE-1,D0647B,B,0.63558,0.62938,0.63246,4
ROUGE-1,D0647B,31,0.40466,0.42213,0.41321,4
ROUGE-1,D0647B,16,0.36035,0.35840,0.35937,4
ROUGE-1,D0647B,15,0.42111,0.41409,0.41757,4
ROUGE-1,D0647B,18,0.32232,0.35652,0.33856,4
ROUGE-1,D0647B,17,0.39169,0.42811,0.40909,4
ROUGE-1,D0647B,19,0.41365,0.39867,0.40602,4
ROUGE-1,D0602B,7,0.29343,0.29086,0.29214,4
ROUGE-1,D0602B,10,0.35721,0.35968,0.35844,4
ROUGE-1,D0602B,8,0.29044,0.29020,0.29032,4
ROUGE-1,D0602B,11,0.21000,0.29558,0.24555,4
ROUGE-1,D0602B,9,0.34722,0.38147,0.36354,4
ROUGE-1,D0602B,14,0.35026,0.35417,0.35220,4
ROUGE-1,D0602B,3,0.33468,0.35227,0.34325,4
ROUGE-1,D0602B,15,0.28456,0.28770,0.28612,4
ROUGE-1,D0602B,4,0.37270,0.37849,0.37557,4
ROUGE-1,D0602B,12,0.37860,0.38600,0.38226,4
ROUGE-1,D0602B,5,0.37269,0.37402,0.37335,4
ROUGE-1,D0602B,13,0.30315,0.30900,0.30605,4
ROUGE-1,D0602B,6,0.33451,0.33829,0.33639,4
ROUGE-1,D0602B,1,0.17172,0.26677,0.20894,4
ROUGE-1,D0602B,35,0.30507,0.34403,0.32338,4
ROUGE-1,D0602B,34,0.30818,0.30784,0.30801,4
ROUGE-1,D0602B,2,0.35610,0.36300,0.35952,4
ROUGE-1,D0602B,33,0.36000,0.36265,0.36132,4
ROUGE-1,D0602B,32,0.33744,0.33858,0.33801,4
ROUGE-1,D0602B,31,0.31880,0.32762,0.32315,4
ROUGE-1,D0602B,30,0.36179,0.37807,0.36975,4
ROUGE-1,D0602B,19,0.37578,0.37402,0.37490,4
ROUGE-1,D0602B,18,0.32087,0.32831,0.32455,4
ROUGE-1,D0602B,17,0.25509,0.33505,0.28965,4
ROUGE-1,D0602B,16,0.30033,0.30478,0.30254,4
ROUGE-1,D0602B,24,0.39415,0.40040,0.39725,4
ROUGE-1,D0602B,23,0.34331,0.34585,0.34458,4
ROUGE-1,D0602B,26,0.24438,0.29089,0.26562,4
ROUGE-1,D0602B,25,0.32948,0.33202,0.33074,4
ROUGE-1,D0602B,20,0.32381,0.32480,0.32430,4
ROUGE-1,D0602B,22,0.28068,0.29303,0.28673,4
ROUGE-1,D0602B,21,0.33361,0.34553,0.33946,4
ROUGE-1,D0602B,J,0.53257,0.53125,0.53191,4
ROUGE-1,D0602B,27,0.34147,0.35950,0.35025,4
ROUGE-1,D0602B,28,0.37669,0.37647,0.37658,4
ROUGE-1,D0602B,29,0.30232,0.32489,0.31320,4
ROUGE-1,D0602B,D,0.54763,0.54921,0.54842,4
ROUGE-1,D0602B,B,0.53276,0.53235,0.53256,4
ROUGE-1,D0602B,A,0.54921,0.55578,0.55247,4
ROUGE-1,D400B,28,0.27612,0.27733,0.27672,9
ROUGE-1,D400B,27,0.26723,0.26144,0.26430,9
ROUGE-1,D400B,29,0.30478,0.30040,0.30257,9
ROUGE-1,D400B,23,0.13949,0.41901,0.20930,9
ROUGE-1,D400B,I,0.37360,0.37125,0.37242,9
ROUGE-1,D400B,24,0.29927,0.31326,0.30610,9
ROUGE-1,D400B,J,0.42090,0.41514,0.41800,9
ROUGE-1,D400B,G,0.40704,0.40667,0.40685,9
ROUGE-1,D400B,25,0.32655,0.31690,0.32166,9
ROUGE-1,D400B,H,0.40616,0.39621,0.40112,9
ROUGE-1,D400B,26,0.26275,0.28088,0.27151,9
ROUGE-1,D400B,E,0.40189,0.42185,0.41163,9
ROUGE-1,D400B,20,0.29014,0.33959,0.31293,9
ROUGE-1,D400B,21,0.28403,0.28700,0.28551,9
ROUGE-1,D400B,C,0.44653,0.43750,0.44197,9
ROUGE-1,D400B,D,0.41094,0.41067,0.41080,9
ROUGE-1,D400B,22,0.19091,0.30169,0.23384,9
ROUGE-1,D400B,A,0.44617,0.44268,0.44442,9
ROUGE-1,D400B,B,0.41221,0.43870,0.42504,9
ROUGE-1,D400B,4,0.31163,0.30820,0.30991,9
ROUGE-1,D400B,3,0.28228,0.27844,0.28034,9
ROUGE-1,D400B,6,0.32439,0.32485,0.32462,9
ROUGE-1,D400B,5,0.30035,0.30443,0.30237,9
ROUGE-1,D400B,8,0.28597,0.27713,0.28148,9
ROUGE-1,D400B,7,0.31263,0.30469,0.30861,9
ROUGE-1,D400B,9,0.33835,0.32858,0.33339,9
ROUGE-1,D400B,31,0.30012,0.29718,0.29864,9
ROUGE-1,D400B,30,0.24389,0.24606,0.24497,9
ROUGE-1,D400B,32,0.27022,0.28700,0.27836,9
ROUGE-1,D400B,19,0.28374,0.27433,0.27895,9
ROUGE-1,D400B,18,0.25771,0.30010,0.27730,9
ROUGE-1,D400B,17,0.29643,0.28751,0.29190,9
ROUGE-1,D400B,2,0.29976,0.30397,0.30185,9
ROUGE-1,D400B,1,0.31015,0.30091,0.30546,9
ROUGE-1,D400B,16,0.31511,0.30686,0.31093,9
ROUGE-1,D400B,14,0.28892,0.30686,0.29762,9
ROUGE-1,D400B,15,0.28441,0.28311,0.28376,9
ROUGE-1,D400B,12,0.27746,0.27102,0.27421,9
ROUGE-1,D400B,13,0.32323,0.32659,0.32490,9
ROUGE-1,D400B,10,0.29309,0.28228,0.28759,9
ROUGE-1,D400B,11,0.27987,0.26531,0.27240,9
ROUGE-1,D0601A,34,0.27642,0.25846,0.26714,4
ROUGE-1,D0601A,35,0.27533,0.27510,0.27522,4
ROUGE-1,D0601A,B,0.57014,0.56201,0.56605,4
ROUGE-1,D0601A,10,0.34476,0.33760,0.34114,4
ROUGE-1,D0601A,11,0.18006,0.24724,0.20837,4
ROUGE-1,D0601A,A,0.54996,0.54464,0.54729,4
ROUGE-1,D0601A,12,0.32279,0.32100,0.32189,4
ROUGE-1,D0601A,30,0.33627,0.36413,0.34965,4
ROUGE-1,D0601A,13,0.30866,0.30948,0.30907,4
ROUGE-1,D0601A,31,0.29062,0.29251,0.29156,4
ROUGE-1,D0601A,32,0.32590,0.31518,0.32045,4
ROUGE-1,D0601A,14,0.30157,0.29070,0.29604,4
ROUGE-1,D0601A,33,0.35819,0.35317,0.35566,4
ROUGE-1,D0601A,15,0.33973,0.33137,0.33550,4
ROUGE-1,D0601A,C,0.55830,0.56048,0.55939,4
ROUGE-1,D0601A,E,0.55180,0.56535,0.55849,4
ROUGE-1,D0601A,17,0.26227,0.33462,0.29406,4
ROUGE-1,D0601A,16,0.32666,0.32115,0.32388,4
ROUGE-1,D0601A,19,0.31065,0.30176,0.30614,4
ROUGE-1,D0601A,18,0.29238,0.30826,0.30011,4
ROUGE-1,D0601A,21,0.32720,0.32600,0.32660,4
ROUGE-1,D0601A,22,0.33962,0.33665,0.33813,4
ROUGE-1,D0601A,20,0.31383,0.30233,0.30797,4
ROUGE-1,D0601A,25,0.24810,0.24799,0.24804,4
ROUGE-1,D0601A,26,0.28134,0.31111,0.29548,4
ROUGE-1,D0601A,23,0.35578,0.34706,0.35136,4
ROUGE-1,D0601A,24,0.34160,0.33597,0.33876,4
ROUGE-1,D0601A,6,0.30457,0.29360,0.29899,4
ROUGE-1,D0601A,5,0.33785,0.32685,0.33226,4
ROUGE-1,D0601A,4,0.34369,0.33929,0.34148,4
ROUGE-1,D0601A,3,0.35593,0.37342,0.36447,4
ROUGE-1,D0601A,9,0.25634,0.29514,0.27438,4
ROUGE-1,D0601A,8,0.34790,0.33789,0.34282,4
ROUGE-1,D0601A,7,0.33274,0.32074,0.32663,4
ROUGE-1,D0601A,29,0.31166,0.32427,0.31784,4
ROUGE-1,D0601A,28,0.33378,0.31679,0.32506,4
ROUGE-1,D0601A,27,0.34756,0.35597,0.35171,4
ROUGE-1,D0601A,2,0.33462,0.31180,0.32281,4
ROUGE-1,D0601A,1,0.25245,0.24322,0.24775,4
ROUGE-1,D0630C,10,0.39486,0.39397,0.39441,4
ROUGE-1,D0630C,11,0.24712,0.37135,0.29675,4
ROUGE-1,D0630C,30,0.39017,0.41841,0.40380,4
ROUGE-1,D0630C,12,0.38873,0.39800,0.39331,4
ROUGE-1,D0630C,31,0.37347,0.39082,0.38195,4
ROUGE-1,D0630C,13,0.37429,0.37945,0.37685,4
ROUGE-1,D0630C,32,0.39611,0.39494,0.39552,4
ROUGE-1,D0630C,33,0.36268,0.36614,0.36440,4
ROUGE-1,D0630C,34,0.32795,0.33333,0.33062,4
ROUGE-1,D0630C,35,0.30892,0.38659,0.34341,4
ROUGE-1,D0630C,18,0.28558,0.31438,0.29929,4
ROUGE-1,D0630C,19,0.30836,0.31225,0.31030,4
ROUGE-1,D0630C,C,0.55361,0.54580,0.54968,4
ROUGE-1,D0630C,14,0.31004,0.31673,0.31335,4
ROUGE-1,D0630C,15,0.45069,0.43421,0.44230,4
ROUGE-1,D0630C,16,0.34050,0.34350,0.34200,4
ROUGE-1,D0630C,17,0.35072,0.41096,0.37846,4
ROUGE-1,D0630C,5,0.41570,0.41602,0.41586,4
ROUGE-1,D0630C,20,0.29925,0.30456,0.30188,4
ROUGE-1,D0630C,6,0.36110,0.36275,0.36192,4
